repository	state	branch	commit	path	sha256	protection
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	Cargo.toml	a1d4697e30d47525464b711a1e4c28a314d854c4148fb059a24088ab32337951	read-only; ownership handoff required before implementation
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	Cargo.lock	b46a043197ac7d3c97c9d63475b5a2daad457af672a5c7c6d539abd93bce230c	read-only; ownership handoff required before implementation
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	src/lib.rs	8c870004e5b878c604860cbca6e3fb2e02eb7b26bfecd59fdfdf4d2bc2a6a3d0	read-only; ownership handoff required before implementation
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	src/graph/node.rs	11c6b93741f258d59df671c968c4ae11303dfe8e3e15264ea45abee36898ee9a	read-only; ownership handoff required before implementation
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	src/graph/cpg.rs	7cbaab0621a9fee670ba4275f51c35938b04aa868cd9d1776a3b5e1544ce2b2e	read-only; ownership handoff required before implementation
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	src/analysis/dataflow/facts.rs	099e4e4c2742334d35b30a6469cdc69b49006987bd16d2d617f4205db53d4b77	read-only; ownership handoff required before implementation
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	src/analysis/datalog.rs	b033ff144d150caf679a640841828368f5a2e89986618e8dad7e5ad823445bbd	read-only; ownership handoff required before implementation
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	src/analysis/ml/export.rs	61a335f4dee31bfd2cdaeb4df33650600c85011737ef4de8fb217d48834ffdaa	read-only; ownership handoff required before implementation
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	src/builder/incremental.rs	35c9cf8e44974622a236ed9feab7b5a5b250bb58552daab16015a7265883d112	read-only; ownership handoff required before implementation
libcpg	committed-dirty-protected	main	0a54d1e9307633b3a440b4154d088c4d08703d1b	src/builder/parser_registry.rs	c883ec91018855983a252ab99368005bc8798595409af198ee07d3a4853ba277	read-only; ownership handoff required before implementation
vinary-libcpg-adapter	absent-required-red	NONE	NONE	NONE	NONE	read-only; ownership handoff required before implementation
